seeds: 929142010 467769747 2497466808 210166838 3768123711 33216796 1609270159 86969850 199555506 378609832 1840685500 314009711 1740069852 36868255 2161129344 170490105 2869967743 265455365 3984276455 31190888

seed-to-soil map:
3449772966 2864628006 55669778
297466270 592974146 144676140
2334123656 2093742484 288623281
2945090247 4292516799 2450497
1095159998 143292689 79403847
3107223297 3007516670 6991844
0 836510585 20975330
2299891757 2041123582 34231899
276947486 1000111543 1815889
442142410 396391435 67632241
1962516806 3792807768 240581337

light-to-temperature map:
3884798542 3179257010 5536030
2221366309 1722332134 176062455
550850442 2239976316 812984276
1811481549 3100760963 78496047
2640090257 457193060 313876206
2495814208 2197536573 42439743
3995825312 1898394589 299141984
3754849534 3407613625 129949008
3890334572 3302122885 105490740
1889977596 771069266 255516805
3300733900 3052960592 47800371
3497312635 4294682795 284501
3348534271 3830987352 148778364
3181367714 3537562633 118078810
2397428764 3655641443 98385444
2563129792 3754026887 11234150
3497597136 3279737798 22385087
2538253951 1249809462 24875841
2953966463 4067281544 227401251
2145494401 3979765716 75871908
1363834718 1274685303 447646831
457193060 3184793040 93657382
3519982223 4055637624 11643920
2574363942 3765261037 65726315
3299446524 3278450422 1287376
3531626143 1026586071 223223391

temperature-to-humidity map:
1042511941 613297634 21380371
1338560988 2467432579 195807105
1689790100 2663239684 5147838
1534368093 1255646654 123554085
1657922178 472280060 31867922
1063892312 634678005 22101508
3020373353 2743804882 227587056
3354622010 3207836814 51442173
279315000 1414949840 172148078
2333443661 0 36016786
2656069043 859373847 9250148
81520987 1873230878 37317266
2452902712 868623995 174257482
2665319191 1042881477 3068331
1085993820 504147982 109149652
1875725935 36016786 328594859
3247960409 4062312657 86516416
2743804882 3833392893 10707972
2204320794 2254867447 129122867
1302811887 1379200739 35749101
3930773544 4267797728 7024383
4056766582 3259278987 238200714
1195143472 364611645 107668415
0 656779513 81520987
2369460447 2383990314 83442265
3334476825 4274822111 20145185
451463078 1910548144 344319303
811683287 1642402224 230828654
2754512854 3160188107 47648707
2802161561 3844100865 218211792
3741977375 2971391938 188796169
2627160194 1226737805 28908849
3406064183 3497479701 245403322
795782381 843472941 15900906
174142559 738300500 105172441
1694937938 1045949808 180787997
3651467505 3742883023 90509870
3937797927 4148829073 118968655
118838253 1587097918 55304306

humidity-to-location map:
561172837 465568195 974822499
3386805071 4164489434 100929125
1899981360 1440390694 188334950
459590666 0 101582171
0 1735512469 459590666
3517282933 3386805071 777684363
2088316310 1628725644 106786825
3487734196 4265418559 29548737
1535995336 101582171 363986024
